4650017503;BES 5 ESTRELLA 6/1,75 IM  PET      ;000000000000001;000011,9543;000012,6788;000013,1135;000013,7626;00000014,49;00000000000;00000000000;00000000000;00000000000;00000000000;BT;CA;06;    300A0008;500;PL
41CH502500;LSB CHEMINEAUD 40/0,250 TF PET     ;000000000000000;000003,4403;000003,6488;000003,7739;000003,9607;00000004,17;00000000000;00000000000;00000000000;00000000000;00000000000;BT;CA;40;    300A0009;CH5;TF
46CH502500;LSB CHEMINEAUD 40/0,250 IM PET     ;000000000000000;000002,9783;000003,1588;000003,2671;000003,4288;00000003,61;00000000000;00000000000;00000000000;00000000000;00000000000;BT;CA;40;    300A0008;CH5;PL
46CH502501;LSB CHEMINEAU 40/0,250 PRG PET     ;000000000000000;0000003,135;0000003,325;0000003,439;000003,6092;000000003,8;00000000000;00000000000;00000000000;00000000000;00000000000;BT;CA;40;    300A0007;CH5;PL
41DI207014;RON D AÑEJO 12/0,7 TF 2PACKGIF     ;000000000000000;000016,8795;000017,9025;000018,5163;000019,4329;00000020,46;00000000000;00000000000;00000000000;00000000000;00000000000;BT;CA;12;    300A0009;DI2;TF
41DI203752;DIP AÑEJO24/0,375TF 2PACK+GIFT     ;000000000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;BT;CA;24;    300A0009;DI2;TF
41WE107502;G.WELLINGTON12/0,75TF 2PACK CC     ;000000000000000;0000012,936;00000013,72;000014,1904;000014,8929;00000015,68;00000000000;00000000000;00000000000;00000000000;00000000000;BT;CA;12;    300A0009;WE1;TF
41NA107005;NAIGUATA12/0,7 TF 2PACK C/COCT     ;000000000000000;0000012,705;0000013,475;0000013,937;000014,6269;000000015,4;00000000000;00000000000;00000000000;00000000000;00000000000;BT;CA;12;    300A0009;NA1;TF
41GL107020;V.GLAC LIMON12/0,7 TF 3PACK CV     ;000000000000000;000009,1988;000009,7563;000010,0908;000010,5903;00000011,15;00000000000;00000000000;00000000000;00000000000;00000000000;BT;CA;12;    300A0009;GL1;TF
41GL107021;V.GLAC F.TR 12/0,7 TF 3PACK CV     ;000000000000000;000009,1988;000009,7563;000010,0908;000010,5903;00000011,15;00000000000;00000000000;00000000000;00000000000;00000000000;BT;CA;12;    300A0009;GL1;TF
41GL107022;V.GLAC PIÑA 12/0,7 TF 3PACK CV     ;000000000000000;0000012,243;0000012,985;000013,4302;0000014,095;00000014,84;00000000000;00000000000;00000000000;00000000000;00000000000;BT;CA;12;    300A0009;GL1;TF
41GL107023;V.G.GUARANA 12/0,7 TF 3PACK CV     ;000000000000000;0000012,243;0000012,985;000013,4302;0000014,095;00000014,84;00000000000;00000000000;00000000000;00000000000;00000000000;BT;CA;12;    300A0009;GL1;TF
41CND07001;CANAIMA DORADO 12/0,7 TF 2P CV     ;000000000000000;000013,2083;000014,0088;000014,4891;000015,2063;00000016,01;00000000000;00000000000;00000000000;00000000000;00000000000;BT;CA;12;    300A0009;CND;TF
46WE107505;WELLINGTON12/0,75PRG 2P CC (E)     ;000000000000000;000011,7893;000012,5038;000012,9325;000013,5726;00000014,29;00000000000;00000000000;00000000000;00000000000;00000000000;BT;CA;12;    300A0007;WE1;PL
46WE107504;G.WELLINGTON12/0,75 IM(E)2P CC     ;000000000000000;000011,1953;000011,8738;000012,2809;000012,8888;00000013,57;00000000000;00000000000;00000000000;00000000000;00000000000;BT;CA;12;    300A0008;WE1;PL
46NA107008;LDR NAIGUATA 12/0,70 IM 2P CC      ;000000000000000;000012,0945;000012,8275;000013,2673;000013,9241;00000014,66;00000000000;00000000000;00000000000;00000000000;00000000000;BT;CA;12;    300A0008;NA1;PL
46NA107009;LDR NAIGUATA 12/0,7 PRG 2P CC      ;000000000000000;000012,7298;000013,5013;000013,9642;000014,6554;00000015,43;00000000000;00000000000;00000000000;00000000000;00000000000;BT;CA;12;    300A0007;NA1;PL
41HS607013;LDR H.SARURO 0,7TF 2PCK VAS/SH     ;000000000000000;000048,7823;000051,7388;000053,5127;000056,1617;00000059,13;00000000000;00000000000;00000000000;00000000000;00000000000;BT;CA;06;    300A0009;HS6;TF
46DI207015;RON DIP. AÑEJO12/0,7PRG 2P+GIF     ;000000000000000;0000015,378;00000016,31;000016,8692;000017,7043;00000018,64;00000000000;00000000000;00000000000;00000000000;00000000000;BT;CA;12;    300A0007;DI2;PL
46DI207014;RON DIP.AÑEJO12/0,7 IM 2P+GIFT     ;000000000000000;000014,6108;000015,4963;000016,0276;0000016,821;00000017,71;00000000000;00000000000;00000000000;00000000000;00000000000;BT;CA;12;    300A0008;DI2;PL
46GL107030;V.G.PIÑA 12/0,7 IM(E) 3PACK CV     ;000000000000000;000007,9613;000008,4438;000008,7333;000009,1656;00000009,65;00000000000;00000000000;00000000000;00000000000;00000000000;BT;CA;12;    300A0008;GL1;PL
46GL107031;V.G.GUARANA 12/0,7 IM(E) 3P CV     ;000000000000000;0000010,593;0000011,235;000011,6202;000012,1954;00000012,84;00000000000;00000000000;00000000000;00000000000;00000000000;BT;CA;12;    300A0008;GL1;PL
46GL207004;GLACIAL XTREME12/0,7IM(E)3P CV     ;000000000000000;000009,6278;000010,2113;000010,5614;000011,0842;00000011,67;00000000000;00000000000;00000000000;00000000000;00000000000;BT;CA;12;    300A0008;GL2;PL
46GL107032;V.G.LIMON12/0,70 PRG 3P CV (E)     ;000000000000000;0000008,382;00000008,89;000009,1948;00000009,65;00000010,16;00000000000;00000000000;00000000000;00000000000;00000000000;BT;CA;12;    300A0007;GL1;PL
